scorer,DLC_resnet50_WASPNov22shuffle1_95500,DLC_resnet50_WASPNov22shuffle1_95500,DLC_resnet50_WASPNov22shuffle1_95500,DLC_resnet50_WASPNov22shuffle1_95500,DLC_resnet50_WASPNov22shuffle1_95500,DLC_resnet50_WASPNov22shuffle1_95500
bodyparts,head,head,head,stinger,stinger,stinger
coords,x,y,likelihood,x,y,likelihood
132,1074.720458984375,433.2690124511719,0.6133818626403809,1060.357177734375,436.3788146972656,0.7976348400115967
133,1074.5634765625,433.2723693847656,0.6925176382064819,1060.132568359375,436.5272521972656,0.8278785347938538
134,1074.427001953125,433.4128112792969,0.7507044672966003,1059.7850341796875,436.7760314941406,0.8637506365776062
135,1074.4735107421875,433.4562683105469,0.5905331373214722,1060.196533203125,436.4107360839844,0.7300816178321838
136,1074.6746826171875,433.3893127441406,0.7981483340263367,1060.0631103515625,436.6023254394531,0.8675196170806885
137,1074.681396484375,433.256103515625,0.8204959034919739,1059.808837890625,436.7223815917969,0.8871024250984192
138,1074.6585693359375,432.7850036621094,0.876181423664093,1059.6014404296875,436.8205261230469,0.9361075162887573
139,1074.356201171875,432.8655700683594,0.7935028076171875,1059.1246337890625,436.6204833984375,0.9300280809402466
140,1074.2005615234375,432.649658203125,0.8108254075050354,1058.7008056640625,436.6016845703125,0.9341639876365662
141,1073.53759765625,434.1044616699219,0.5527951717376709,1057.9952392578125,436.8528137207031,0.85150545835495
142,1073.626953125,433.3565673828125,0.8997312784194946,1058.170166015625,437.19976806640625,0.9371758103370667
143,1072.862060546875,434.1451416015625,0.8559530377388,1057.335205078125,437.6351623535156,0.8954988718032837
144,1072.530029296875,434.3678283691406,0.9408847093582153,1055.0482177734375,439.6027526855469,0.9375002384185791
145,1072.297607421875,434.5304260253906,0.9391252398490906,1055.185302734375,439.4085693359375,0.9228521585464478
146,1072.4288330078125,434.2749938964844,0.9747936129570007,1055.123779296875,439.13311767578125,0.9625558257102966
147,1072.678466796875,433.92926025390625,0.9853183627128601,1055.2698974609375,439.24365234375,0.9787599444389343
148,1072.37841796875,434.147705078125,0.9516932368278503,1055.4117431640625,439.0135192871094,0.9708876609802246
149,1072.6993408203125,433.7925720214844,0.9772096872329712,1055.205322265625,439.1983947753906,0.9826567769050598
150,1072.3963623046875,433.8509521484375,0.9838107824325562,1054.645263671875,439.3589172363281,0.9849653244018555
151,1072.4521484375,433.9948425292969,0.9723442792892456,1055.405517578125,439.17535400390625,0.9741311073303223
152,1072.7886962890625,434.10833740234375,0.9584375619888306,1055.4822998046875,439.1616516113281,0.969987690448761
153,1072.5399169921875,434.2414245605469,0.9486261010169983,1055.3753662109375,439.2115173339844,0.9624037742614746
154,1072.658935546875,434.2398681640625,0.9471611976623535,1055.532958984375,439.18902587890625,0.962893009185791
155,1072.5762939453125,434.62542724609375,0.8849256634712219,1057.1795654296875,438.4365234375,0.9329233765602112
156,1072.437255859375,434.66949462890625,0.9326980113983154,1057.29443359375,438.6612243652344,0.9496625065803528
157,1072.1448974609375,434.71630859375,0.9573397636413574,1056.9539794921875,438.7551574707031,0.9496898055076599
158,1072.20654296875,434.79638671875,0.9354636073112488,1057.17236328125,438.62518310546875,0.9473060965538025
159,1072.5455322265625,434.863525390625,0.9232767820358276,1057.2706298828125,438.7986145019531,0.9320208430290222
160,1072.6556396484375,434.92083740234375,0.8659365177154541,1057.667236328125,438.5557861328125,0.9013197422027588
161,1072.2568359375,435.2618713378906,0.8210211396217346,1057.5897216796875,438.5806579589844,0.8731111288070679
162,1072.2640380859375,435.2799072265625,0.8882685899734497,1057.3995361328125,438.9261779785156,0.8970744013786316
163,1073.1676025390625,434.69287109375,0.9428443908691406,1057.3822021484375,439.0528259277344,0.9592545032501221
164,1072.8604736328125,435.2516784667969,0.8272172808647156,1057.4722900390625,438.923828125,0.8946126699447632
165,1073.019775390625,435.3017578125,0.8425010442733765,1057.6312255859375,439.0666809082031,0.9088688492774963
166,1072.92041015625,434.6306457519531,0.8600366711616516,1058.0447998046875,438.9393615722656,0.9093603491783142
